Model,Single_Split_AUC,CV5_Mean_AUC,CV5_Std_AUC
DeepMLP,0.666430760419856,0.651518737469585,0.008189213873124235
Random_Forest,0.662320745428062,0.6596364843986626,0.011412073568554164
XGBoost,0.6591090004105828,0.6617621953615657,0.00806042706627084
